Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
8/24/2018,6719.959961,6719.959961,6498.640137,6551.52002,4097820000,219848,1.12E+11,48824180.03,6.51E+12,0.820710534
8/25/2018,6763.189941,6789.629883,6700.959961,6719.950195,3312600000,196420,1.16E+11,45145645.91,6.73E+12,0.763551689
8/26/2018,6707.259766,6774.75,6620.75,6754.640137,3295500000,172747,1.15E+11,57853309.21,6.73E+12,0.569715503
8/27/2018,6884.640137,6884.640137,6689.709961,6710.799805,4019000000,223656,1.15E+11,61866255.51,6.73E+12,0.701549638
8/28/2018,7096.279785,7109.560059,6882.339844,6891.080078,4659940000,238039,1.21E+11,51165065.37,6.73E+12,0.879880758
8/29/2018,7047.160156,7113.299805,6970.819824,7091.709961,4145880000,237508,1.22E+11,46483294.68,6.73E+12,0.90788618
8/30/2018,6978.22998,7072.689941,6834.689941,7043.759766,4463250000,231391,1.21E+11,51499477.56,6.73E+12,0.817750818
8/31/2018,7037.580078,7057.169922,6920.160156,6973.970215,4495650000,237076,1.20E+11,51833889.75,6.73E+12,0.80918129
9/1/2018,7193.25,7242.290039,7038.049805,7044.810059,4116050000,213331,1.22E+11,50496240.99,6.73E+12,0.769296053
9/2/2018,7272.720215,7306.310059,7132.160156,7189.580078,4329540000,187145,1.23E+11,48155355.64,6.73E+12,0.648996729
9/3/2018,7260.060059,7317.939941,7208.149902,7279.029785,4087760000,222897,1.25E+11,48155355.64,6.73E+12,0.846752486
9/4/2018,7361.660156,7388.259766,7255.439941,7263,4273640000,232265,1.26E+11,42135936.19,6.73E+12,0.957670738
9/5/2018,6792.830078,7388.430176,6792.830078,7361.459961,5800460000,246477,1.27E+11,44142409.34,6.73E+12,1.008443932
9/6/2018,6529.169922,6755.140137,6404.720215,6755.140137,5523470000,252261,1.11E+11,50161828.79,6.73E+12,0.888037207
9/7/2018,6467.069824,6555.290039,6396.870117,6528.919922,4264680000,230790,1.11E+11,52673943.17,6.97E+12,0.889911336
9/8/2018,6225.97998,6534.25,6197.52002,6460.169922,3835060000,204428,1.11E+11,52338942.95,7.02E+12,0.7105398
9/9/2018,6300.859863,6446.259766,6201.220215,6223.379883,3671890000,188912,1.08E+11,56874984.68,7.02E+12,0.616029117
9/10/2018,6329.700195,6374.97998,6292.759766,6301.569824,3714100000,222866,1.09E+11,47105048.66,7.02E+12,0.899061756
9/11/2018,6321.200195,6398.919922,6260.209961,6331.879883,3849910000,237571,1.09E+11,49198606.38,7.02E+12,0.941821383
9/12/2018,6351.799805,6363.870117,6265.089844,6317.009766,4064230000,233275,1.08E+11,58619616.11,7.02E+12,0.709051161
9/13/2018,6517.310059,6535.410156,6354.240234,6354.240234,4210910000,234209,1.11E+11,51641090.38,7.02E+12,0.819058953
